formula,band_gap,elements
Al2FeIr,0.0,"['Al', 'Fe', 'Ir']"
Al2FeNi,0.0,"['Al', 'Fe', 'Ni']"
Al2FeO4,0.0,"['Al', 'Fe', 'O']"
Al2Ga2Bi2O9,2.7318,"['Al', 'Bi', 'Ga', 'O']"
Al2Ge(O2F)2,4.0658,"['Al', 'F', 'Ge', 'O']"
Al2H12(SeO5)3,4.745100000000001,"['Al', 'H', 'O', 'Se']"
Al2H16S3O20,5.574,"['Al', 'H', 'O', 'S']"
Al2H32S3O28,4.6645,"['Al', 'H', 'O', 'S']"
Al2Hg3Cl8,2.5631,"['Al', 'Cl', 'Hg']"
Al2HgS4,2.0244,"['Al', 'Hg', 'S']"
Al2HgSe4,1.4253999999999991,"['Al', 'Hg', 'Se']"
Al2HgTe4,1.1108,"['Al', 'Hg', 'Te']"
Al2IrOs,0.0,"['Al', 'Ir', 'Os']"
Al2IrRh,0.0,"['Al', 'Ir', 'Rh']"
Al2IrRu,0.0,"['Al', 'Ir', 'Ru']"
Al2NiO4,3.205599999999999,"['Al', 'Ni', 'O']"
Al2NiOs,0.0,"['Al', 'Ni', 'Os']"
Al2NiRu,0.0,"['Al', 'Ni', 'Ru']"
Al2O3,5.853700000000001,"['Al', 'O']"
Al2Os,0.28989999999999905,"['Al', 'Os']"
Al2OsRh,0.0,"['Al', 'Os', 'Rh']"
Al2P3(HO3)3,6.2699,"['Al', 'H', 'O', 'P']"
Al2Pb3F12,5.266,"['Al', 'F', 'Pb']"
Al2PbO4,3.9425,"['Al', 'O', 'Pb']"
Al2PbS4,2.5904,"['Al', 'Pb', 'S']"
Al2PbSe4,1.9965000000000002,"['Al', 'Pb', 'Se']"
Al2PdRu,0.0,"['Al', 'Pd', 'Ru']"
Al2Pt,0.0,"['Al', 'Pt']"
Al2Ru,0.086399999999999,"['Al', 'Ru']"
Al2RuPt,0.0,"['Al', 'Pt', 'Ru']"
Al2RuRh,0.0,"['Al', 'Rh', 'Ru']"
Al2S3,3.0435,"['Al', 'S']"
Al2Sb5(Se2Br3)3,1.801899999999999,"['Al', 'Br', 'Sb', 'Se']"
Al2Se3,1.8004,"['Al', 'Se']"
Al2Si(O2F)2,5.6953,"['Al', 'F', 'O', 'Si']"
Al2Si2PbO8,4.2562,"['Al', 'O', 'Pb', 'Si']"
Al2Si3H8(NO5)2,4.9127,"['Al', 'H', 'N', 'O', 'Si']"
Al2SiO5,5.403799999999999,"['Al', 'O', 'Si']"
Al2SnCl6O,3.9866,"['Al', 'Cl', 'O', 'Sn']"
Al2Te3,1.854,"['Al', 'Te']"
Al2Te5,1.046099999999999,"['Al', 'Te']"
Al2VCl8,0.8418000000000001,"['Al', 'Cl', 'V']"
Al2VNi9,0.0,"['Al', 'Ni', 'V']"
Al2ZnO4,3.845999999999999,"['Al', 'O', 'Zn']"
Al2ZnS4,2.4934,"['Al', 'S', 'Zn']"
Al2ZnSe4,2.1529,"['Al', 'Se', 'Zn']"
Al2ZnTe4,1.625099999999999,"['Al', 'Te', 'Zn']"
Al3(BRu2)2,0.0,"['Al', 'B', 'Ru']"
Al3(Ni10B3)2,0.0,"['Al', 'B', 'Ni']"
Al3(V3C2)4,0.0,"['Al', 'C', 'V']"
Al37(Fe6Cu)2,0.0,"['Al', 'Cu', 'Fe']"
Al3BC,0.453,"['Al', 'B', 'C']"
Al3BC3,1.8202999999999991,"['Al', 'B', 'C']"
Al3Cr,0.0,"['Al', 'Cr']"
Al3Ga3Ni10,0.0,"['Al', 'Ga', 'Ni']"
Al3Ir,0.0,"['Al', 'Ir']"
Al3Mo,0.0,"['Al', 'Mo']"
Al3Ni,0.0,"['Al', 'Ni']"
Al3Ni2,0.0,"['Al', 'Ni']"
Al3Ni5,0.0,"['Al', 'Ni']"
Al3Pd2,0.0,"['Al', 'Pd']"
Al3Pd5,0.0,"['Al', 'Pd']"
Al3Pt2,0.0,"['Al', 'Pt']"
Al3Pt5,0.0,"['Al', 'Pt']"
Al3Ru2,0.0,"['Al', 'Ru']"
Al3Si3Ag4IO12,2.364,"['Ag', 'Al', 'I', 'O', 'Si']"
Al3Tl4Fe(As2O7)4,2.7875,"['Al', 'As', 'Fe', 'O', 'Tl']"
Al3V,0.0,"['Al', 'V']"
Al4(B2O5)3,5.8172999999999995,"['Al', 'B', 'O']"
Al45Cr7,0.0,"['Al', 'Cr']"
Al4B2O9,4.357800000000001,"['Al', 'B', 'O']"
Al4Bi2O9,2.800199999999999,"['Al', 'Bi', 'O']"
Al4C3,1.3154,"['Al', 'C']"
Al4CO4,3.823299999999999,"['Al', 'C', 'O']"
Al4CdO7,3.0642,"['Al', 'Cd', 'O']"
Al4Cu9,0.0,"['Al', 'Cu']"
Al4Fe2Si5O18,3.862699999999999,"['Al', 'Fe', 'O', 'Si']"
Al4InAgSe8,0.6835,"['Ag', 'Al', 'In', 'Se']"
Al4Ni3,0.0,"['Al', 'Ni']"
Al4Tc,0.0,"['Al', 'Tc']"
Al53Fe17Si12,0.0,"['Al', 'Fe', 'Si']"
Al5BO9,4.9384999999999994,"['Al', 'B', 'O']"
Al5Co2,0.0,"['Al', 'Co']"
Al5CuS8,1.4217,"['Al', 'Cu', 'S']"
Al5Mo,0.0,"['Al', 'Mo']"
Al5Rh2,0.0,"['Al', 'Rh']"
Al5W,0.0,"['Al', 'W']"
Al6B5(O5F)3,6.1148,"['Al', 'B', 'F', 'O']"
Al6Cd4SO12,2.7127,"['Al', 'Cd', 'O', 'S']"
Al6Cd4TeO12,2.5652,"['Al', 'Cd', 'O', 'Te']"
Al6CoCu3,0.0,"['Al', 'Co', 'Cu']"
Al6Ru,0.0,"['Al', 'Ru']"
Al6SnTe10,1.439,"['Al', 'Sn', 'Te']"
Al7(TlS4)3,2.7961,"['Al', 'S', 'Tl']"
Al7Cr(Bi2O9)2,2.5541,"['Al', 'Bi', 'Cr', 'O']"
Al7FeCu2,0.0,"['Al', 'Cu', 'Fe']"
Al8(Pb3O7)3,2.8336,"['Al', 'O', 'Pb']"
Al8Mo3,0.0,"['Al', 'Mo']"
Al9Co2,0.0,"['Al', 'Co']"
Al9Ir2,0.0,"['Al', 'Ir']"
Al9Rh2,0.0,"['Al', 'Rh']"
AlAg(PSe3)2,1.6205999999999992,"['Ag', 'Al', 'P', 'Se']"
AlAg3,0.0,"['Ag', 'Al']"
AlAgO2,1.4090999999999991,"['Ag', 'Al', 'O']"
AlAgS2,1.8992,"['Ag', 'Al', 'S']"
AlAgSe2,1.135199999999999,"['Ag', 'Al', 'Se']"
AlAgSnSe4,1.1072,"['Ag', 'Al', 'Se', 'Sn']"
AlAgTe2,1.0469,"['Ag', 'Al', 'Te']"
AlAs,1.503699999999999,"['Al', 'As']"
AlAs3(SeCl)4,2.1167,"['Al', 'As', 'Cl', 'Se']"
AlAs3S5Cl4,2.2534,"['Al', 'As', 'Cl', 'S']"
AlAsO4,3.865,"['Al', 'As', 'O']"
AlAsPt5,0.0,"['Al', 'As', 'Pt']"
AlAu,0.0,"['Al', 'Au']"
AlAu2,0.0,"['Al', 'Au']"
AlAu4,0.0,"['Al', 'Au']"
AlBMo,0.0,"['Al', 'B', 'Mo']"
AlBPbO4,2.940799999999999,"['Al', 'B', 'O', 'Pb']"
AlBW,0.0,"['Al', 'B', 'W']"
AlBiCl6,3.7568,"['Al', 'Bi', 'Cl']"
AlBiSCl4,2.8305,"['Al', 'Bi', 'Cl', 'S']"
AlBiSeCl4,2.542399999999999,"['Al', 'Bi', 'Cl', 'Se']"
AlBiTeCl4,2.1634,"['Al', 'Bi', 'Cl', 'Te']"
AlBr3,4.0992,"['Al', 'Br']"
AlBrO,3.0144,"['Al', 'Br', 'O']"
AlC3(NCl2)3,2.5682,"['Al', 'C', 'Cl', 'N']"
AlCdCl4,2.761,"['Al', 'Cd', 'Cl']"
AlCl3,5.263,"['Al', 'Cl']"
AlClO,5.593999999999999,"['Al', 'Cl', 'O']"
AlCo,0.0,"['Al', 'Co']"
AlCr2C,0.0,"['Al', 'C', 'Cr']"
AlCr3B4,0.0,"['Al', 'B', 'Cr']"
AlCr4AgS8,0.0,"['Ag', 'Al', 'Cr', 'S']"
AlCr4CuS8,0.0,"['Al', 'Cr', 'Cu', 'S']"
AlCr4CuSe8,0.0,"['Al', 'Cr', 'Cu', 'Se']"
AlCrFeO4,1.4767000000000001,"['Al', 'Cr', 'Fe', 'O']"
AlCrRu2,0.0,"['Al', 'Cr', 'Ru']"
AlCu,0.0,"['Al', 'Cu']"
AlCu(PSe3)2,0.8799,"['Al', 'Cu', 'P', 'Se']"
AlCu3,0.0,"['Al', 'Cu']"
AlCuAu2,0.0,"['Al', 'Au', 'Cu']"
AlCuBr4,2.1451000000000002,"['Al', 'Br', 'Cu']"
AlCuCl4,2.5112,"['Al', 'Cl', 'Cu']"
AlCuGeSe4,0.8904999999999991,"['Al', 'Cu', 'Ge', 'Se']"
AlCuO2,1.8148,"['Al', 'Cu', 'O']"
